# R,G,B
0.72610203,0.60515085,0.27595856
0.72868108,0.60942770,0.27870520
0.73126733,0.61370642,0.28145183
0.73386111,0.61798708,0.28419847
0.73646276,0.62226980,0.29416122
0.73907260,0.62655465,0.30404043
0.74169098,0.63084176,0.31384442
0.74431822,0.63513122,0.32358044
0.74695463,0.63942315,0.33325484
0.74960056,0.64371766,0.34287320
0.75225631,0.64801485,0.35244045
0.75492220,0.65231487,0.36196095
0.75759855,0.65661781,0.37143857
0.76028568,0.66092382,0.38087674
0.76298389,0.66523301,0.39027854
0.76569350,0.66954553,0.39964671
0.76841481,0.67386149,0.40898371
0.77114812,0.67818104,0.41829172
0.77389374,0.68250432,0.42757272
0.77665197,0.68683147,0.43682849
0.77942311,0.69116262,0.44606059
0.78220746,0.69549794,0.45527048
0.78500530,0.69983756,0.46445941
0.78781694,0.70418164,0.47362855
0.79064265,0.70853033,0.48277893
0.79348274,0.71288378,0.49191146
0.79633749,0.71724216,0.50102698
0.79920719,0.72160562,0.51012623
0.80209212,0.72597432,0.51920985
0.80499256,0.73034844,0.52827843
0.80790881,0.73472812,0.53733249
0.81084113,0.73911356,0.54637247
0.81378980,0.74350490,0.55539876
0.81675512,0.74790232,0.56441171
0.81973736,0.75230601,0.57341160
0.82273679,0.75671612,0.58239866
0.82575370,0.76113284,0.59137311
0.82878836,0.76555635,0.60033508
0.83184106,0.76998683,0.60928469
0.83491206,0.77442446,0.61822203
0.83800166,0.77886941,0.62714712
0.84111013,0.78332189,0.63605999
0.84423775,0.78778206,0.64496059
0.84738480,0.79225013,0.65384886
0.85055158,0.79672628,0.66272472
0.85373837,0.80121070,0.67158803
0.85694545,0.80570357,0.68043863
0.86017313,0.81020511,0.68927634
0.86342170,0.81471549,0.69810092
0.86669147,0.81923492,0.70691211
0.86998274,0.82376360,0.71570961
0.87329582,0.82830171,0.72449308
0.87663104,0.83284947,0.73326215
0.87998872,0.83740707,0.74201640
0.88336921,0.84197471,0.75075534
0.88677285,0.84655260,0.75947847
0.89020001,0.85114094,0.76818520
0.89365105,0.85573995,0.77687489
0.89712637,0.86034981,0.78554683
0.90062639,0.86497076,0.79420022
0.90415153,0.86960298,0.80283418
0.90770226,0.87424670,0.81144772
0.91127907,0.87890213,0.82003971
0.91488249,0.88356948,0.82860891
0.91851309,0.88824896,0.83715387
0.92217149,0.89294079,0.84567297
0.92585841,0.89764518,0.85416429
0.92957461,0.90236237,0.86262564
0.93332098,0.90709255,0.87105441
0.93709855,0.91183597,0.87944747
0.94090852,0.91659282,0.88780103
0.94475236,0.92136335,0.89611035
0.94863186,0.92614776,0.90436942
0.95254937,0.93094628,0.91257023
0.95650806,0.93575911,0.92070170
0.96051257,0.94058647,0.92874739
0.96457044,0.94542851,0.93668006
0.96869678,0.95028531,0.94444466
0.97295376,0.95515615,0.95181272
